date,asset_code,open,high,low,close,volume,turnover,GC001_avg,GC001_close
2024-04-03,511260.SH,126.986,127.086,126.844,127.083,393275623,34.1898,1.935,1.92
2024-04-08,511260.SH,127.101,127.165,126.971,127.135,494615132,42.9615,1.917,1.9
2024-04-09,511260.SH,127.177,127.31,127.177,127.275,514884149,44.6247,1.88,1.85
2024-04-10,511260.SH,127.237,127.242,127.053,127.178,265303799,23.0144,1.86,1.82
2024-04-11,511260.SH,127.178,127.203,127.152,127.159,449694247,38.1623,1.786,1.73
2024-04-12,511260.SH,127.263,127.425,127.263,127.394,319091504,27.0664,1.817,1.8
2024-04-15,511260.SH,127.418,127.573,127.4,127.51,395491031,32.4575,1.808,1.78
2024-04-16,511260.SH,127.51,127.523,127.445,127.521,327335698,26.7267,1.813,1.775
2024-04-17,511260.SH,127.598,127.6,127.515,127.566,334146928,27.2649,1.797,1.775
2024-04-18,511260.SH,127.581,127.795,127.58,127.785,338247937,27.0117,1.792,1.75
2024-04-19,511260.SH,127.8,127.894,127.755,127.814,574064436,44.4417,1.827,1.83
2024-04-22,511260.SH,127.831,127.905,127.789,127.902,280971640,21.7415,1.868,1.88
2024-04-23,511260.SH,127.956,128.203,127.956,128.199,480217275,36.8976,1.873,1.82
2024-04-24,511260.SH,127.922,128.199,127.557,127.627,384103486,29.587,1.861,1.805
2024-04-25,511260.SH,127.693,127.793,127.633,127.689,329421789,25.1548,1.814,1.735
2024-04-26,511260.SH,127.754,127.788,127.388,127.393,344775973,26.3627,1.957,1.985
2024-04-29,511260.SH,127.391,127.391,126.12,126.777,105220089,8.0993,1.954,1.65
2024-04-30,511260.SH,126.89,127.249,126.89,127.244,187093147,14.4314,1.902,1.78
2024-05-06,511260.SH,127.25,127.429,127.044,127.336,113802850,8.7638,1.923,1.93
2024-05-07,511260.SH,127.496,127.705,127.34,127.655,311724264,23.4893,1.848,1.8
2024-05-08,511260.SH,127.733,127.978,127.7,127.781,275959412,20.7772,1.813,1.77
2024-05-09,511260.SH,127.663,127.689,127.575,127.6,268690191,20.251,1.742,1.67
2024-05-10,511260.SH,127.527,127.624,127.393,127.425,284869865,21.4947,1.767,1.75
2024-05-13,511260.SH,127.549,127.69,127.525,127.69,402578273,30.3322,1.793,1.79
2024-05-14,511260.SH,127.74,127.869,127.692,127.753,422770418,31.5219,1.783,1.78
2024-05-15,511260.SH,127.754,127.829,127.645,127.664,389069000,29.0192,1.753,1.72
2024-05-16,511260.SH,127.671,127.693,127.53,127.58,272060450,20.3192,1.703,1.655
2024-05-17,511260.SH,127.389,127.492,127.38,127.41,281938161,21.0813,1.758,1.775
2024-05-20,511260.SH,127.558,127.644,127.467,127.633,146932119,10.973,1.77,1.775
2024-05-21,511260.SH,127.633,127.675,127.54,127.551,247113848,18.4545,1.835,1.85
2024-05-22,511260.SH,127.568,127.649,127.568,127.647,370007614,27.6172,1.806,1.78
2024-05-23,511260.SH,127.731,127.795,127.652,127.791,408794732,30.4825,1.711,1.64
2024-05-24,511260.SH,127.802,127.896,127.71,127.736,366613046,27.3414,1.76,1.755
2024-05-27,511260.SH,127.731,127.731,127.652,127.714,385737962,28.7782,1.806,1.795
2024-05-28,511260.SH,127.808,127.88,127.766,127.878,346160472,25.7957,1.82,1.81
2024-05-29,511260.SH,127.988,128,127.911,127.984,243452760,18.126,1.894,1.88
2024-05-30,511260.SH,127.983,127.992,127.916,127.991,307701153,22.9076,1.88,1.77
2024-05-31,511260.SH,127.767,127.82,127.691,127.798,443808698,33.8615,1.829,1.81
2024-06-03,511260.SH,127.82,127.895,127.803,127.879,616110779,46.979,1.833,1.855
2024-06-04,511260.SH,127.938,127.97,127.832,127.888,413061559,31.4903,1.814,1.805
2024-06-05,511260.SH,127.987,128.037,127.926,128.029,397914225,30.3068,1.8,1.79
2024-06-06,511260.SH,128.112,128.154,128.031,128.066,310071751,23.6045,1.783,1.775
2024-06-07,511260.SH,128.136,128.174,128.067,128.168,209020676,15.9031,1.834,1.855
2024-06-11,511260.SH,128.168,128.227,128.159,128.186,326985879,24.8681,1.825,1.83
2024-06-12,511260.SH,128.186,128.22,128.125,128.138,291416702,22.1684,1.818,1.81
2024-06-13,511260.SH,128.222,128.235,128.146,128.234,333676170,25.3769,1.812,1.805
2024-06-14,511260.SH,128.297,128.322,128.258,128.301,244160213,18.5551,1.834,1.84
2024-06-17,511260.SH,128.362,128.385,128.323,128.372,404498481,30.6969,1.844,1.825
2024-06-18,511260.SH,128.379,128.495,128.379,128.489,229479288,17.0668,1.848,1.795
2024-06-19,511260.SH,128.465,128.545,128.4,128.512,284420271,20.7533,1.834,1.805
2024-06-20,511260.SH,128.612,128.612,128.44,128.61,261822324,19.0887,1.869,1.855
2024-06-21,511260.SH,128.603,128.603,128.448,128.509,391102436,28.5342,1.938,1.875
2024-06-24,511260.SH,128.499,128.768,128.415,128.624,313216508,22.8379,1.934,1.92
2024-06-25,511260.SH,128.653,128.788,128.653,128.764,372965767,26.6581,1.982,2.005
